bookmaker,league,era_bin,sample_size,logloss_closing,brier_closing,accuracy,coverage_rate,avg_overround,overround_std,total_matches_in_context
vc,E0,2013-2017,380,0.9717716243969601,0.5746400342753704,0.531578947368421,1.0,1.0254680702239374,0.004178116526438052,380
b365,E0,2018-2022,760,0.9552261357671351,0.5645049742560754,0.5552631578947368,1.0,1.0535948820243235,0.004881206642729783,760
bw,E0,2018-2022,760,0.954733766214102,0.5647763634006666,0.5552631578947368,1.0,1.0531275248553826,0.005261735765734139,760
iw,E0,2018-2022,760,0.9548004912804635,0.5647983305048746,0.5539473684210526,1.0,1.0511499197975525,0.004190811180987263,760
ps,E0,2018-2022,760,0.9542629140915067,0.5642108876759664,0.5526315789473685,1.0,1.0276196871922003,0.004497669061870974,760
wh,E0,2018-2022,760,0.955345905641734,0.5647188302062998,0.5539473684210526,1.0,1.0554963122767818,0.006078027984725509,760
vc,E0,2018-2022,760,0.954895601952108,0.564685228779527,0.5552631578947368,1.0,1.0532074921089236,0.014836239387216206,760
b365,F1,2003-2007,569,1.0511968219661016,0.6329342935872686,0.48154657293497366,1.0,1.094303851034629,0.021089396532692296,569
bw,F1,2003-2007,569,1.049312879912462,0.6317206606524473,0.46748681898066785,1.0,1.102606571128553,0.004143149484897023,569
iw,F1,2003-2007,569,1.0507685057648974,0.6333245876769149,0.46572934973637964,1.0,1.1119614621978833,0.006095176858157245,569
lb,F1,2003-2007,569,1.049416700833969,0.6322230353157046,0.47627416520210897,1.0,1.1241094107055911,0.004022644726993126,569
wh,F1,2003-2007,451,1.0416420826800366,0.6270644290464021,0.4811529933481153,0.7926186291739895,1.1251896206321894,0.0021387313125489434,569
sj,F1,2003-2007,568,1.0450307498081266,0.6295215507001447,0.47183098591549294,0.9982425307557118,1.1010666316417712,0.003358037365550636,569
vc,F1,2003-2007,563,1.046956756953925,0.6307523073339014,0.48134991119005327,0.9894551845342706,1.1197381192402251,0.007851798835604953,569
b365,F1,2008-2012,951,1.0242740409419508,0.6185050908105875,0.47003154574132494,1.0,1.0658739764830332,0.0058094974078300955,951
bw,F1,2008-2012,951,1.0279472196685748,0.6203413873805291,0.47003154574132494,1.0,1.0932666618012763,0.012648784593963775,951
iw,F1,2008-2012,951,1.0302570085832141,0.6213421308026401,0.47318611987381703,1.0,1.1042218680166986,0.010865477440597751,951
lb,F1,2008-2012,951,1.028196567757855,0.6203547014884981,0.4668769716088328,1.0,1.1239014549806376,0.003378061917000309,951
wh,F1,2008-2012,951,1.0275552207273362,0.6202713656018742,0.47318611987381703,1.0,1.0976735365920216,0.029406654438499942,951
sj,F1,2008-2012,949,1.0247593909849584,0.618580101452674,0.47418335089567965,0.9978969505783386,1.0763104443165041,0.01543463942078723,951
vc,F1,2008-2012,951,1.0275390516632237,0.6203072682955514,0.47213459516298634,1.0,1.0830725353895498,0.034046793106255614,951
b365,F1,2018-2022,380,0.9992661388009421,0.5974576959648239,0.5,1.0,1.0543990388902191,0.006228831540274592,380
