match_id,y,ctx_dispersion,ctx_n_books,ctx_has_pinnacle,ctx_league_tier,ctx_league_E0,ctx_league_SP1,ctx_league_I1,ctx_league_D1,ctx_league_F1,ctx_month,ctx_is_weekend,ctx_season_phase,ctx_overround,pH_b365,pD_b365,pA_b365,pH_bw,pD_bw,pA_bw,pH_wh,pD_wh,pA_wh,pH_ps,pD_ps,pA_ps
6276,2,0.008266771701454232,4,1,1,0,0,1,0,0,5,0,2,1.05,0.2245508982035928,0.25149700598802394,0.5239520958083832,0.2308565324788037,0.24908204820081448,0.5200614193203819,0.225296442687747,0.24901185770750986,0.5256916996047432,0.21976931047533957,0.252306585013247,0.5279241045114135
6274,2,0.014544481162847758,4,1,1,0,0,1,0,0,5,0,2,1.05,0.19022379269729095,0.2502944640753828,0.5594817432273262,0.1988950276243094,0.24861878453038674,0.5524861878453039,0.19594283079760258,0.2508068234209313,0.5532503457814661,0.18870920680522513,0.24181330520267535,0.5694774879920994
6275,1,0.013334844573763518,4,1,1,0,0,1,0,0,5,0,2,1.05,0.3875,0.30625,0.30625,0.3835842441740565,0.303155289750464,0.3132604660754795,0.3835842441740565,0.303155289750464,0.3132604660754795,0.39051269765213226,0.3124101581217058,0.29707714422616194
6270,2,0.01776839679566397,4,1,1,0,0,1,0,0,5,1,2,1.05,0.3138041733547351,0.2768860353130016,0.40930979133226325,0.3342816500711238,0.267425320056899,0.3982930298719773,0.32611264277274515,0.26270185112248917,0.4111855061047657,0.32282716830966807,0.26679931265261825,0.4103735190377137
6272,1,0.013771920583874272,4,1,1,0,0,1,0,0,5,1,2,1.05,0.578368999421631,0.23423944476576056,0.18739155581260844,0.5711963777790677,0.23126487490567132,0.19753874731526092,0.5848930481283423,0.22560160427807488,0.18950534759358292,0.5750711982358352,0.22572888155051474,0.19919992021365013
6273,0,0.022605180058751895,4,1,1,0,0,1,0,0,5,1,2,1.05,0.6394640682095006,0.22533495736906212,0.13520097442143728,0.6230122941092705,0.225471115963355,0.15151658992737457,0.6500776404176282,0.2161921021250311,0.13373025745734066,0.6467810277565191,0.21415638474604742,0.13906258749743342
6271,1,0.01288471537363812,4,1,1,0,0,1,0,0,5,1,2,1.05,0.47291361639824303,0.2781844802342606,0.24890190336749632,0.4632435349300569,0.2884064588435515,0.24835000622639158,0.47291361639824303,0.2781844802342606,0.24890190336749632,0.4696590225406108,0.2896699360579815,0.24067104140140758
6269,2,0.009880402519744792,4,1,1,0,0,1,0,0,5,1,2,1.05,0.4048278591214879,0.2882865057380293,0.3068856351404828,0.4093097913322633,0.27688603531300165,0.31380417335473515,0.4093097913322633,0.27688603531300165,0.31380417335473515,0.4063185356681071,0.27868533570319737,0.3149961286286954
11399,0,0.010366996681229198,4,1,1,0,0,0,1,0,5,1,2,1.05,0.4509283819628648,0.2785145888594165,0.27055702917771884,0.4473684210526316,0.27631578947368424,0.27631578947368424,0.45092838196286467,0.2705570291777188,0.27851458885941643,0.4471353675973443,0.28358142782722423,0.2692832045754314
11401,2,0.015443586361007424,4,1,1,0,0,0,1,0,5,1,2,1.05,0.2968388589051658,0.27139552814186585,0.4317656129529684,0.30579150579150577,0.2633204633204633,0.43088803088803085,0.3049060942889996,0.2554618627826753,0.43963204292832503,0.29319352106553137,0.27165953364263923,0.43514694529182935
