match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq,pH_static,pD_static,pA_static
1322,2,0.2913935924881705,0.15019006124589473,0.31659508213644827,0.24182126412948649,0.6902052672684162,0.18962123240712064,0.1201735003244632,0.6889241841097357,0.19014700829022374,0.12092880760004061,0.6889326627017455,0.19014348390870167,0.12092385338955268
1323,0,0.28927177391256753,0.15030702308037783,0.31550021714540083,0.24492098586165378,0.795845768807837,0.13148113919031354,0.07267309200184958,0.7959940950539643,0.13133754289177507,0.07266836205426057,0.7959941290349996,0.13133736707191596,0.0726685038930845
1324,1,0.2892734659436314,0.15032093483274384,0.3154930213528195,0.24491257787080525,0.7029903789224003,0.186866963597024,0.11014265748057565,0.701964154646975,0.18767055547102193,0.11036528988200309,0.7019706671305985,0.18766529029072476,0.11036404257867677
1325,2,0.28927411087192845,0.1503262387290854,0.31549027797316365,0.24490937242582234,0.34453376042017786,0.29638034866512525,0.3590858909146968,0.34557684353587664,0.29623460636534027,0.35818855009878303,0.3455698177588096,0.29623586545863534,0.358194316782555
1326,2,0.28927243441481343,0.15031245307273974,0.3154974084889134,0.24491770402353338,0.29335944134266145,0.2853436219728522,0.4212969366844863,0.29493194617088053,0.2850602761252604,0.4200077777038591,0.2949215809263124,0.28506287791704193,0.42001554115664574
1327,1,0.28741666796880844,0.15003882328895637,0.31742363436445453,0.2451208743777806,0.2658338815425282,0.28152204583188123,0.45264407262559053,0.26684713171862456,0.2805964917202248,0.4525563765611506,0.2668392141841607,0.280603426372143,0.45255735944369624
1328,0,0.2874181351291682,0.15005077679669493,0.31741743204238504,0.24511365603175184,0.4845185981723738,0.26544907897558984,0.2500323228520363,0.4861449776613237,0.2644412913140908,0.24941373102458553,0.4861351251518739,0.2644472415361074,0.24941763331201877
1329,0,0.28741837006135157,0.15005269122380113,0.31741643871237213,0.2451125000024751,0.4506978041683079,0.27696815509379813,0.2723340407378939,0.4509520798044616,0.27648740306190983,0.27256051713362855,0.4509510205335882,0.2764892228504285,0.2725597566159832
1330,0,0.2874207675769988,0.1500722336868162,0.31740629895680195,0.24510069977938306,0.562923119837528,0.25889189117720657,0.17818498898526552,0.562792546163132,0.25848409653593246,0.1787233573009355,0.5627931787843364,0.25848675244061203,0.17872006877505162
1331,0,0.28741573886141436,0.15003125542772197,0.3174275611578694,0.2451254445529943,0.6240752065810418,0.2269561614862871,0.14896863193267115,0.6217443876155528,0.2276889894487491,0.15056662293569806,0.6217575144708202,0.2276856795364532,0.1505568059927267
1332,1,0.28741871278875597,0.15005548422944076,0.31741498952312963,0.24511081345867364,0.48618965061418784,0.25940618804804877,0.2544041613377635,0.48606928275614625,0.26001536275382525,0.25391535449002856,0.4860706699702805,0.26001185149509676,0.2539174785346228
1333,0,0.28741570566764213,0.15003098508201682,0.3174277014349621,0.245125607815379,0.6773483060935507,0.19761297219486224,0.12503872171158703,0.6758150731251805,0.19821645038466348,0.125968476490156,0.6758239844864333,0.19821478947298946,0.12596122604057713
1334,0,0.2874181767151823,0.15005111566792076,0.3174172562136319,0.24511345140326501,0.29257482351618697,0.2769523985098962,0.43047277797391675,0.2930522449870065,0.27754888340627637,0.4293988716067172,0.29304854420303866,0.27754479353064654,0.42940666226631474
1335,2,0.2874174230871661,0.15004497505708403,0.31742044238070155,0.24511715947504822,0.47943617926923565,0.2669518341086134,0.25361198662215084,0.4801967680331901,0.2670660264795758,0.25273720548723405,0.4801921324650381,0.267065195317751,0.25274267221721075
1336,2,0.28741602544720396,0.1500335895965416,0.31742635000558805,0.2451240349506664,0.08944631179759378,0.14657154825994925,0.7639821399424569,0.09016019539277677,0.14710410433068405,0.7627357002765391,0.09015505136186479,0.1471000939843134,0.7627448546538219
1337,2,0.291393930991151,0.15019285880072997,0.31659362235000227,0.24181958785811675,0.2121388780281237,0.24609144217815188,0.5417696797937244,0.2124742805885222,0.24542997368688643,0.5420957457245914,0.21247256834407416,0.24543367120128512,0.5420937604546407
