match_idx,y,w_b365,w_bw,w_ps,w_wh,pH_mix,pD_mix,pA_mix,pH_eq,pD_eq,pA_eq
104,1,0.23822329629835093,0.23713792947410373,0.26022902547700005,0.26440974875054535,0.18844764342652146,0.271696310822653,0.5398560457508256,0.18847418851653155,0.27181117169635893,0.5397146397871095
105,0,0.2387877141541361,0.23754057387299807,0.2628650665057268,0.260806645467139,0.46997006494750754,0.253914037576121,0.27611589747637144,0.46988253593782103,0.2538570097758346,0.27626045428634444
106,2,0.2382239922061731,0.2371118077654093,0.2602395401982579,0.2644246598301597,0.30449514829776186,0.30629270483192195,0.3892121468703162,0.30455119823897026,0.30654047999289197,0.3889083217681378
107,1,0.23822335108275416,0.23713587434983427,0.26022985271828675,0.26441092184912485,0.6545971357685143,0.20781294268740053,0.1375899215440852,0.6544438738527171,0.2079415914455301,0.13761453470175278
108,1,0.23822371265089276,0.23712230541579954,0.2602353145861301,0.26441866734717756,0.5087676343357707,0.26962992239338873,0.22160244327084064,0.5087187141337849,0.2696827222784344,0.22159856358778085
109,1,0.2395322087493603,0.2379452394014885,0.25800536288258225,0.26451718896656895,0.21399523738540083,0.24240505727587383,0.5435997053387254,0.2139340068492786,0.24255437883324615,0.5435116143174753
110,0,0.24010336809367447,0.23838915694406237,0.2606096789993558,0.26089779596290746,0.7971556028027136,0.12994138784898956,0.07290300934829688,0.7970714552120051,0.13007694835807518,0.07285159642991972
111,1,0.23953158008466016,0.23796744078561222,0.2579964821871923,0.26450449694253536,0.7114433306945472,0.17283371283541848,0.11572295647003435,0.711314160250898,0.17282773728839135,0.11585810246071065
112,1,0.23953253356699983,0.23793375906253522,0.25800995512245856,0.2645237522480065,0.8069918096222648,0.12361256322441207,0.06939562715332315,0.8067548044391015,0.12366475048381877,0.0695804450770797
113,2,0.240103407753363,0.2383878212599667,0.26061022033103715,0.26089855065563317,0.24057014671890556,0.24583907433526728,0.5135907789458272,0.24048910580667865,0.245993052165516,0.5135178420278054
114,0,0.24010440332868518,0.23835426467332646,0.2606238203844657,0.2609175116135227,0.697596537931998,0.17770975374096515,0.12469370832703677,0.6972888966498357,0.17800911416442647,0.12470198918573773
115,1,0.23953192831060643,0.23795514608369425,0.2580014001366877,0.26451152546901163,0.6176427695787621,0.2361610449293032,0.1461961854919348,0.617473423402897,0.23621346511333874,0.14631311148376416
116,0,0.23953186881457575,0.23795724720913097,0.25800055967305047,0.2645103243032428,0.42514492296294615,0.3117033262743971,0.26315175076265673,0.42528683005626355,0.3115093293607959,0.26320384058294055
117,1,0.239532222058291,0.23794476913668863,0.2580055509923593,0.26451745781266106,0.2554877101577627,0.310712419038274,0.4337998708039633,0.2553920127635835,0.31072586666570795,0.43388212057070846
118,0,0.24010442655521205,0.23835348118613478,0.2606241379240221,0.26091795433463105,0.6251133352581472,0.2082220669203899,0.1666645978214631,0.6246928204120772,0.20841638310442187,0.16689079648350102
119,2,0.240103637865687,0.23838006976898304,0.2606133618939097,0.2609029304714202,0.29129711656314156,0.2323895043673609,0.4763133790694975,0.291174499818214,0.2324190428821371,0.4764064572996489
120,0,0.2401037825162064,0.23837519569954735,0.26061533728622427,0.260905684498022,0.4856189914730113,0.24217765977525865,0.27220334875173013,0.4857577759748547,0.24209866946521066,0.2721435545599348
121,1,0.24010379443088897,0.23837479417971874,0.26061550001678496,0.2609059113726072,0.4579431020570729,0.25578826917651964,0.28626862876640735,0.45783243660029194,0.2557060360966372,0.28646152730307095
122,0,0.2401044149854417,0.23835387146614412,0.260623979747408,0.2609177338010062,0.7957984825256261,0.12485913376711542,0.07934238370725835,0.7954487201313125,0.12505782489743852,0.07949345497124889
123,0,0.23878711399506186,0.2375620090690933,0.262856324617453,0.26079455231839177,0.44966860623914906,0.2748377226590496,0.27549367110180134,0.4495630862152677,0.2748986420436449,0.27553827174108747
124,0,0.23822448885077896,0.23709314413540863,0.2602470529000101,0.26443531411380233,0.7078701290391572,0.18950392771611427,0.10262594324472848,0.7075177265851496,0.18965877348342977,0.10282349993142074
125,2,0.23822394328426677,0.23711364525360515,0.26023880055410653,0.2644236109080216,0.14041660964743818,0.2144884787346271,0.6450949116179348,0.1407057234555038,0.21455800226613161,0.6447362742783646
126,0,0.2395319254012399,0.2379552488340719,0.25800135903586185,0.26451146672882636,0.5195659494151638,0.2735249265364492,0.20690912404838702,0.5195570915020535,0.2736035082375816,0.2068394002603649
127,2,0.2401041182228046,0.23836387968046457,0.26061992352623625,0.2609120785704946,0.5041607470294384,0.2453480863890261,0.2504911665815356,0.5041775398955679,0.2453212688934825,0.2505011912109496
128,0,0.24010388053011775,0.23837189245072013,0.2606166760491432,0.26090755097001894,0.43295451490120757,0.2402645686280698,0.3267809164707227,0.4330776327780977,0.24025881023550336,0.3266635569863991
129,2,0.23953241307030965,0.2379380186366915,0.2580082512516333,0.2645213170413655,0.23426368158316418,0.2533671307988962,0.5123691876179396,0.2344647513204896,0.2533568679780632,0.5121783807014472
130,0,0.2395319410815283,0.23795469504577002,0.2580015805548396,0.264511783317862,0.20222542702236032,0.24403645567804194,0.5537381172995978,0.2022465700235793,0.24414260819160935,0.5536108217848114
