match_id,match_date,league,home_team,away_team,result,pH_weighted,pD_weighted,pA_weighted,pH_equal,pD_equal,pA_equal,n_books,books_used,has_pinnacle,dispH,dispD,dispA,y,pH_mkt,pD_mkt,pA_mkt,feat_league_tier,feat_total_dispersion,feat_market_confidence,feat_book_coverage,feat_has_pinnacle,feat_consensus_diff,match_date_dt,feat_month,feat_is_weekend,feat_season_phase,feat_disp_x_books,feat_sharp_x_diff,diff_H,diff_D,diff_A,mean_abs_diff,max_abs_diff,identical_triplet
6267,2024-05-18,I1,Lecce,Atalanta,A,0.2108801115275134,0.2507472527801798,0.5383726356923066,0.2119310948073628,0.2507333508636641,0.5373355543289731,4,"b365,bw,wh,ps",1,0.0069796971811886,0.0047392122577277,0.0071882484607811,2,0.2108801115275134,0.2507472527801798,0.5383726356923066,1,0.0189071578996975,0.9814436891986592,0.6666666666666666,1,0.0021019665596986,2024-05-18,5,1,2.0,0.0756286315987902,0.0021019665596986,0.001050983279849399,1.3901916515679513e-05,0.0010370813633335807,0.0007006555198995531,0.001050983279849399,False
6268,2024-05-18,I1,Torino,Milan,H,0.3396955399218288,0.2959786496206116,0.3643258104575594,0.340390992580392,0.2950738390488259,0.3645351683707819,4,"b365,bw,wh,ps",1,0.0072614055684219,0.0049042466722816,0.007572014191106,0,0.3396955399218288,0.2959786496206116,0.3643258104575594,1,0.0197376664318096,0.9806443685650308,0.6666666666666666,1,0.0018096211435714,2024-05-18,5,1,2.0,0.0789506657272386,0.0018096211435714,0.0006954526585631893,0.000904810571785708,0.00020935791322251873,0.0006032070478571386,0.000904810571785708,False
6266,2024-05-17,I1,Fiorentina,Napoli,D,0.4145555588463691,0.275149300496898,0.3102951406567328,0.4137371890673498,0.2756658417473232,0.310596969185327,4,"b365,bw,wh,ps",1,0.0089665011994196,0.0054064334757908,0.0082236453207034,1,0.4145555588463691,0.275149300496898,0.3102951406567328,1,0.0225965799959139,0.9779027424519604,0.6666666666666666,1,0.0016367395580386,2024-05-17,5,0,2.0,0.0903863199836557,0.0016367395580386,0.000818369779019279,0.0005165412504252176,0.0003018285285941724,0.0005455798526795563,0.000818369779019279,False
6265,2024-05-13,I1,Fiorentina,Monza,H,0.6090255652106125,0.2233440364055134,0.1676303983838739,0.6090146811985412,0.2237879830557868,0.167197335745672,4,"b365,bw,wh,ps",1,0.007591213395568,0.0045967374012232,0.0072723271854911,0,0.6090255652106125,0.2233440364055134,0.1676303983838739,1,0.0194602779822824,0.9809111954604076,0.6666666666666666,1,0.0008878933005464,2024-05-13,5,0,2.0,0.0778411119291297,0.0008878933005464,1.0884012071277205e-05,0.0004439466502733913,0.00043306263820189206,0.0002959644335155202,0.0004439466502733913,False
6264,2024-05-13,I1,Lecce,Udinese,A,0.3607558918691817,0.3103139786086905,0.3289301295221277,0.3615533555054518,0.3084637494963766,0.3299828949981715,4,"b365,bw,wh,ps",1,0.0096360140498979,0.0053329538777117,0.0060512476874796,2,0.3607558918691817,0.3103139786086905,0.3289301295221277,1,0.0210202156150893,0.9794125372900416,0.6666666666666666,1,0.0037004582246277,2024-05-13,5,0,2.0,0.0840808624603573,0.0037004582246277,0.0007974636362700904,0.0018502291123138614,0.0010527654760438265,0.0012334860748759262,0.0018502291123138614,False
11391,2024-05-12,D1,Bayern Munich,Wolfsburg,H,0.7097775663797099,0.1615039781113917,0.1287184555088983,0.7079418855004265,0.163589145840064,0.1284689686595095,4,"b365,bw,wh,ps",1,0.0077886106281273,0.004353339862842,0.0060593711533257,0,0.7097775663797099,0.1615039781113917,0.1287184555088983,1,0.0182013216442951,0.9821240443737572,0.6666666666666666,1,0.0041703354573444,2024-05-12,5,1,2.0,0.0728052865771807,0.0041703354573444,0.00183568087928343,0.002085167728672316,0.0002494868493888025,0.0013901118191148494,0.002085167728672316,False
11392,2024-05-12,D1,Bochum,Leverkusen,A,0.2228427778644526,0.2211636690946688,0.5559935530408785,0.2235758305270567,0.2210725411381358,0.5553516283348074,4,"b365,bw,wh,ps",1,0.0074193715382151,0.0048087450761182,0.0080703040362184,2,0.2228427778644526,0.2211636690946688,0.5559935530408785,1,0.0202984206505517,0.98010540814362,0.6666666666666666,1,0.0014661053252081,2024-05-12,5,1,2.0,0.0811936826022071,0.0014661053252081,0.0007330526626040945,9.112795653301586e-05,0.0006419247060710509,0.0004887017750693871,0.0007330526626040945,False
6263,2024-05-12,I1,Atalanta,Roma,H,0.4747007495063046,0.2647713394903602,0.2605279110033351,0.4735113352392632,0.2644093414626889,0.2620793232980477,4,"b365,bw,wh,ps",1,0.00697064003592,0.0038005603769721,0.0063921756227902,0,0.4747007495063046,0.2647713394903602,0.2605279110033351,1,0.0171633760356824,0.9831262347425688,0.6666666666666666,1,0.0031028245894252,2024-05-12,5,1,2.0,0.0686535041427298,0.0031028245894252,0.0011894142670413888,0.0003619980276712842,0.001551412294712562,0.0010342748631417449,0.001551412294712562,False
6262,2024-05-12,I1,Juventus,Salernitana,D,0.8362565914350404,0.1103860321048771,0.0533573764600823,0.836978117584388,0.1099717055845301,0.0530501768310818,4,"b365,bw,wh,ps",1,0.0055974321378616,0.0044060527827388,0.0072664243019871,1,0.8362565914350404,0.1103860321048771,0.0533573764600823,1,0.0172699092225876,0.9830232772384022,0.6666666666666666,1,0.0014430522986951,2024-05-12,5,1,2.0,0.0690796368903505,0.0014430522986951,0.0007215261493476177,0.0004143265203470081,0.0003071996290004986,0.0004810174328983748,0.0007215261493476177,False
6259,2024-05-12,I1,Lazio,Empoli,H,0.5980696964691258,0.238061422108606,0.163868881422268,0.5984424960902728,0.2378597678590807,0.1636977360506466,4,"b365,bw,wh,ps",1,0.0063457624536486,0.004376683473619,0.0080157382746084,0,0.5980696964691258,0.238061422108606,0.163868881422268,1,0.0187381842018761,0.9816064770198474,0.6666666666666666,1,0.0007455992422937,2024-05-12,5,1,2.0,0.0749527368075047,0.0007455992422937,0.00037279962114700194,0.00020165424952531263,0.000171145371621384,0.0002485330807645662,0.00037279962114700194,False
